Ada,Add3,Adh6a,Agr2,Ahnak,Aldh1b1,Aldob,Alpi,Ang4,Anxa1,Anxa10,Anxa13,Anxa5,Apoa1,Apoa4,Apob,Apobec1,Apoc2,Atf5,Axin2,Basp1,Btc,Cavin3,Ccdc71l,Cck,Ccl25,Ccn2,Ccna2,Cdca7,Chga,Chgb,Clca1,Clca3b,Clps,Clu,Cpe,Cps1,Cryab,Cyp2c29,Dclk1,Egfr,F3,Fabp1,Fcgbp,Fos,GFP,Gkn3,Gstm1,Gstm3,Gstt1,Guca2a,H4c9,Hepacam2,Hook1,Ier3,Il18,Il1rn,Insm1,Itln1,Jaml,Junb,Kcne3,Klf4,Lgals3,Lgr5,Lor,Ly6a,Ly6d,Lypd8,Lyz1,Mal,Mki67,Mmp7,Msln,Muc2,Myb,Ndrg1,Neurod1,Neurog3,Nlrp6,Npc1l1,Nt5e,Nupr1,Olfm4,Pclaf,Pclo,Pcsk1,Pigr,Plat,Plaur,Pmepa1,Ppp1r1b,Prap1,Prxl2a,Pycard,Rab3c,Rbp2,Reg1,Reg3a,Reg3b,Reg3g,Reg4,Rgcc,Rhoc,Rnase1,Rps23,S100a7a,S100g,Scg2,Sct,Selenom,Serpinb9b,Sis,Slc12a2,Slc15a1,Slc28a2,Slc2a2,Slc2a5,Slc5a1,Slc7a7,Slc7a8,Slc7a9,Smim24,Smoc2,Spink4,Sprr1a,Sptssb,Sqstm1,Sult6b2,Tac1,Tff3,Tm4sf20,Tm4sf4,Tph1,Tuba1a,Txndc5,Vim,Yap1,Zfp36l2,Zg16
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23,0,0,0,0,6,2,0,0,0,0,5,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,1,33,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1,17,0,0,0,0,0,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,1,0
0,0,0,0,38,1,1,0,0,36,7,0,0,0,0,12,0,0,6,0,2,5,0,3,0,0,0,0,1,0,0,0,0,1,112,21,0,0,0,0,2,183,0,0,1,0,0,0,0,0,0,0,3,0,13,0,1,0,1,0,8,0,1,10,0,1,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,11,1,0,0,0,0,0,0
4,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,1,0
0,0,0,0,188,0,1,0,0,0,19,8,0,0,2,63,1,0,1,0,6,31,0,4,0,0,7,0,0,1,0,0,0,1,5,16,4,0,0,0,4,25,0,0,87,0,1,0,0,1,0,0,0,0,23,0,1,2,0,0,28,1,16,62,0,9,0,0,0,1,0,1,0,164,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,0,12,1,0,10,5,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,5,1,4,0,2,3,0,0,4,0,1,0,0,0,1,1,21,0,0,0,0,176,2,0,0,1,5,1,0
1,0,0,0,68,2,32,0,0,0,14,7,0,168,0,48,0,1,1,0,2,1,0,2,0,0,4,1,0,0,0,1,1,0,3,4,0,1,0,0,1,1,0,0,48,140,1,120,0,0,0,2,0,0,21,1,0,2,0,0,5,0,11,40,1,1,1,0,0,2,0,0,0,89,1,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,8,17,0,0,5,0,0,0,1,0,0,0,0,1,1,1,1,0,0,8,0,0,1,0,4,0,1,1,0,1,0,1,0,0,5,6,1,0,1,0,233,2,0,0,0,3,0,0
0,1,0,0,1,0,87,0,0,4,0,0,0,0,0,0,0,0,8,0,2,0,0,0,32,0,1,1,0,0,151,0,0,0,0,15,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,13,2,0,0,1,0,0,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,1,0,1,0,0,0,6,0,0,1,3,0,0,0,0,2,0,0,0,0,14,0,1,1,0,2,0,0
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,1,0
38,1,0,0,4,0,83,3,0,0,2,0,0,11,41,6,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,19,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,2,0,5,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,10,5,0,0,40,0,0,0,0,2,0,0,1,2,0,0,0,0,0,2,0,0,0,1,2,1,2,0,0,2,1,0,0,0,0,4,0,0,1,2,57,0,1,0,1,1,1,4
0,0,0,0,66,0,0,0,0,1,4,0,0,55,0,34,0,0,3,0,0,5,0,1,0,1,12,0,1,0,0,0,9,0,2,1,0,0,0,0,9,2,0,0,8,109,0,75,0,0,0,0,0,1,26,0,0,0,0,0,3,0,0,13,1,0,6,0,0,2,0,0,0,7,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,60,1,0,0,0,0,3,0
12,0,0,0,77,3,40,0,0,2,20,26,0,12,6,59,1,5,0,0,1,43,2,4,0,0,0,0,1,0,0,0,0,2,17,8,0,0,0,0,3,13,13,0,9,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,13,0,18,18,0,0,0,22,3,1,0,1,0,138,0,1,0,2,1,0,1,13,1,1,0,0,2,2,1,0,1,0,2,22,0,1,55,0,0,0,2,0,0,2,0,0,0,0,1,0,0,3,1,0,4,1,1,0,1,2,0,2,3,0,0,0,5,12,3,0,0,2,462,1,0,0,1,5,2,0
0,1,0,0,39,0,0,0,0,0,14,2,0,0,1,9,0,1,5,0,5,11,0,0,0,0,2,0,0,0,0,0,0,1,21,0,0,0,0,0,2,87,0,0,1,0,4,0,0,0,0,0,0,1,27,0,8,0,0,0,7,1,7,2,1,0,0,0,1,1,4,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,6,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,36,0,0,0,0,4,0,0
17,0,0,2,1,0,39,2,0,0,1,0,0,12,17,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,1,0,0,0,3,49,0,0,0,0,0,0,15
1,0,0,1,39,0,12,1,0,0,8,2,0,29,8,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,3,0,1,17,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,11,3,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,9,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,0,0,0,1,127,0,0,0,0,1,0,0
1,0,0,0,14,0,0,0,0,40,11,2,0,0,0,3,1,0,2,0,8,6,0,0,0,0,0,0,0,0,0,0,9,1,17,16,2,1,0,0,12,41,0,0,10,0,0,0,0,0,0,0,1,0,15,0,32,0,0,0,11,0,1,8,0,0,0,4,0,0,0,2,0,41,0,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,5,1,0,1,0,0,1,1,0,0,1,0,21,0,0,0,0,1,0,0,0,0,2,0,0
